Miley Cyrus ; Wrecking Ball
Luke Christopher ; Lot to Learn
LANY ; Someone Else
Sasha Sloan ; Faking It
Alicia Keys ; Try Sleeping with a Broken Heart
SYML ; Girl - Acoustic
Kodaline ; Brother
James Bay ; Let It Go
Billie Eilish,Khalid ; lovely (with Khalid)
Sigrid ; Dynamite - Acoustic
L Devine ; Panic
Trove ; Call Out My Name
Sleeping At Last ; Chasing Cars
Dan Owen ; Stay Awake with Me
Bastille ; Oblivion
Band of Horses ; No One's Gonna Love You
Leona Lewis ; Bleeding Love
Ed Sheeran ; Supermarket Flowers
Ambar Lucid ; Eyes
Amber Run ; 5AM
Ray LaMontagne ; Such A Simple Thing
One Direction ; Little Things
Ilham,Arin Ray ; cycle of games
Michael Schulte ; You Said You'd Grow Old With Me
Natasha Bedingfield ; Soulmate
Years & Years ; Eyes Shut
Justin Timberlake ; Cry Me a River
Beyoncé ; Irreplaceable
Alex & Sierra ; I Love You
Between Kings ; World of Our Own
Alfred Hall ; Someplace Beautiful
Ruth B. ; Lost Boy
Rebecca Ferguson ; Nothing's Real but Love
Wet ; Don't Wanna Be Your Girl
Tom Odell ; Heal
Ed Sheeran ; I See Fire
Noah Cyrus,LP ; Punches (with LP)
Rag'n'Bone Man ; Skin
Birdy ; Skinny Love
DeathbyRomy ; Stronger
Sarah Close ; Only You - Acoustic
Joshua Hyslop ; Stand Your Ground
LANY ; I Don't Wanna Love You Anymore
Miley Cyrus ; Adore You
A Great Big World,Christina Aguilera ; Say Something
Wrabel ; Bloodstain
RY X ; Sweat
Rebecca Ferguson ; Teach Me How to Be Loved
John Mayer ; Dreaming with a Broken Heart
Mr. Mister ; Broken Wings
Glee Cast ; The Scientist (Glee Cast Version)
Ron Pope ; A Drop In The Ocean
Seafret ; Give Me Something
John Mayer ; Free Fallin' - Live at the Nokia Theatre, Los Angeles, CA - December 2007
One Direction ; They Don't Know About Us
Gavin James ; Always
The Reasn ; Glow
Avril Lavigne ; I'm with You
One Direction ; If I Could Fly
Benjamin Francis Leftwich ; Tilikum
Willamette Stone ; Heart Like Yours
Skinny Living ; Why
Meghan Trainor ; 3am
Kelly Clarkson ; Behind These Hazel Eyes
Michelle Aavitsland ; Strangers in the Night
Liza Anne ; 1,000 Years
Clay Aiken ; Invisible
Adele ; When We Were Young
Maria Lynn ; Summer's Gone
Kelly Clarkson ; Because of You
Bastille ; World Gone Mad
Christina Aguilera ; Beautiful
Avril Lavigne ; When You're Gone
Sleeping At Last ; Turning Page
Novo Amor ; Carry You
Coldplay ; Fix You
Céline Dion ; My Heart Will Go On - Love Theme from "Titanic"
